,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35000000000000003,0.36,0.37,0.38,0.39,0.4,0.41000000000000003,0.42,0.43,0.44,0.45,0.46,0.47000000000000003,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.5700000000000001,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.6900000000000001,0.7000000000000001,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.8200000000000001,0.8300000000000001,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.9400000000000001,0.9500000000000001,0.96,0.97,0.98,0.99
150,0.0006323462134009009,0.0014311617852801137,0.0019504653944357022,0.002410128410603549,0.003023727780191211,0.0038686131404058353,0.005205554896042691,0.006948262411127756,0.009228844808095747,0.011910026288918546,0.014823200600641268,0.01816077218265147,0.019189241501662107,0.01940001444135969,0.018284450381625076,0.01694941175010827,0.015297897075101532,0.013314853665662242,0.012000872883610092,0.010529394186026341,0.008883612800960068,0.007325219216983061,0.00656976873843788,0.005930138198105064,0.005478205578821199,0.00467208282904582,0.0038610040336041836,0.003003003025377119,0.0023368158721709035,0.001476886707383233,0.0007433663416016209,0.00014768866402608855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.0006323462134009009,0.0014697351484551087,0.001999010206074328,0.002466875170399477,0.0029902326043795896,0.003744011157536292,0.004734167644569466,0.006005778338189598,0.007611898000578623,0.00942838143322382,0.011191135607995428,0.013334183173405158,0.015397211536765099,0.01702388777053571,0.017776663641671877,0.01859147299651627,0.018669576782666078,0.01867841799986792,0.018506499444688292,0.01802753574248437,0.016998539139676066,0.0154131139452393,0.014053509914660239,0.012664150010358106,0.011275619671151444,0.010755750107335614,0.009873253939388035,0.008965899077084687,0.006926755748085074,0.005735248058765858,0.004668646030597859,0.0032786885360339742,0.002680549481967548,0.0025303993407670444,0.0013341209977059752,0.00045045047394327213,0.0001501501579810907,0.0001501501579810907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,0.0006323462134009009,0.0015336435984585198,0.0019525060564413801,0.002349841173503313,0.0028362734797033103,0.003433326779453604,0.004220919280841544,0.005162392902347419,0.0063722779017847935,0.00787317363528518,0.009470070854903341,0.011505312395391163,0.01349303421673474,0.015473006746253452,0.017231304257235548,0.018250016277437813,0.019600781628878804,0.019336665093244332,0.018054732085868448,0.018195383273786656,0.017296396443402178,0.016115592960436066,0.016215086520255148,0.015421520465531864,0.014537090636991165,0.013552847242838627,0.012450176861707692,0.011354838162324988,0.01032801430152209,0.009978767656427514,0.008532894208926606,0.007690769515361066,0.006335477235617938,0.004941770823689195,0.003818135138030525,0.0024634681574933165,0.001395089971321123,0.0011088011098337603,0.0010010010084590397,0.0005907546561043542,0.0002953773280521771,0.00014768866402608855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0006323462134009009,0.001135348766068886,0.0017373728574262008,0.002160950874288877,0.00259848460051659,0.003084493406653941,0.003660609240870218,0.004404511202026058,0.005291149255123224,0.006419962960052061,0.007575722243469041,0.0088880400399904,0.010395252657634718,0.011767157009458757,0.013357541951778773,0.015113200035852354,0.016464642173535115,0.017899709426470706,0.018568271469022776,0.01919176936283842,0.01912481643192403,0.018768064493128844,0.018300076468369446,0.017822873455614927,0.017178680470867735,0.01615411974070174,0.014784351180030688,0.013767575033361444,0.012393764077543138,0.011012985161295882,0.009826362334393166,0.007767440734414367,0.0070614253615473846,0.006553291737496316,0.005504754481014905,0.0041613747944702975,0.0026345752380989695,0.0019371831068047533,0.0010436666575638024,0.0006006006319243628,0.0003003003159621814,0.0001501501579810907,0.0001501501579810907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,0.0006323462134009009,0.0011442424100194428,0.0016695915612283054,0.0021080089112122855,0.0025314001014103762,0.0029982213048381848,0.0035276235257451598,0.00412909550642645,0.004771353895062799,0.005613369883986207,0.006513962908102585,0.007593244314193726,0.008815575575640609,0.010020150878542178,0.011294278979032964,0.012696783419127937,0.013377950031746615,0.014601982022459442,0.015850194268398458,0.016981547731939738,0.017247093505821785,0.017428920503605057,0.017028820927481394,0.01728753600403801,0.017121893349565095,0.016621387030862203,0.015645644426144457,0.015261788485437498,0.01424831635243184,0.012983941519213421,0.011876107927680284,0.010425813349282689,0.009409404632442438,0.008108700671745045,0.006940249655697797,0.005928333278174873,0.0047058487260663836,0.003731316274350828,0.003096846846846847,0.0027446801195273526,0.0021915092795818775,0.0017722640354354102,0.001181509379331056,0.0008910549720665356,0.0004430660256394395,0.0004430660256394395,0.00014768866402608855,0.0001501501579810907,0.0001501501579810907,0.0001501501579810907,0.0001501501579810907,0.0001501501579810907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
